2025-02-24 07:43:08 status half-configured openssl:arm64 1.1.1f-1ubuntu2.23
2025-02-24 07:43:08 status unpacked openssl:arm64 1.1.1f-1ubuntu2.23
2025-02-24 07:43:08 status half-installed openssl:arm64 1.1.1f-1ubuntu2.23
2025-02-24 07:43:08 status unpacked openssl:arm64 1.1.1f-1ubuntu2.24
2025-02-24 07:43:09 upgrade ca-certificates:all 20230311ubuntu0.20.04.1 20240203~20.04.1
2025-02-24 07:43:09 status half-configured ca-certificates:all 20230311ubuntu0.20.04.1
2025-02-24 07:43:09 status unpacked ca-certificates:all 20230311ubuntu0.20.04.1
2025-02-24 07:43:09 status half-installed ca-certificates:all 20230311ubuntu0.20.04.1
2025-02-24 07:43:10 status unpacked ca-certificates:all 20240203~20.04.1
2025-02-24 07:43:10 upgrade distro-info-data:all 0.43ubuntu1.16 0.43ubuntu1.17
2025-02-24 07:43:10 status half-configured distro-info-data:all 0.43ubuntu1.16
2025-02-24 07:43:11 status unpacked distro-info-data:all 0.43ubuntu1.16
2025-02-24 07:43:11 status half-installed distro-info-data:all 0.43ubuntu1.16
2025-02-24 07:43:11 status unpacked distro-info-data:all 0.43ubuntu1.17
2025-02-24 07:43:12 upgrade libapparmor1:arm64 2.13.3-7ubuntu5.3build2 2.13.3-7ubuntu5.4
2025-02-24 07:43:12 status half-configured libapparmor1:arm64 2.13.3-7ubuntu5.3build2
2025-02-24 07:43:12 status unpacked libapparmor1:arm64 2.13.3-7ubuntu5.3build2
2025-02-24 07:43:12 status half-installed libapparmor1:arm64 2.13.3-7ubuntu5.3build2
2025-02-24 07:43:12 status unpacked libapparmor1:arm64 2.13.3-7ubuntu5.4
2025-02-24 07:43:13 upgrade libglib2.0-data:all 2.64.6-1~ubuntu20.04.7 2.64.6-1~ubuntu20.04.8
2025-02-24 07:43:13 status half-configured libglib2.0-data:all 2.64.6-1~ubuntu20.04.7
2025-02-24 07:43:13 status unpacked libglib2.0-data:all 2.64.6-1~ubuntu20.04.7
2025-02-24 07:43:13 status half-installed libglib2.0-data:all 2.64.6-1~ubuntu20.04.7
2025-02-24 07:43:13 status unpacked libglib2.0-data:all 2.64.6-1~ubuntu20.04.8
2025-02-24 07:43:14 upgrade libglib2.0-bin:arm64 2.64.6-1~ubuntu20.04.7 2.64.6-1~ubuntu20.04.8
2025-02-24 07:43:14 status half-configured libglib2.0-bin:arm64 2.64.6-1~ubuntu20.04.7
2025-02-24 07:43:14 status unpacked libglib2.0-bin:arm64 2.64.6-1~ubuntu20.04.7
2025-02-24 07:43:14 status half-installed libglib2.0-bin:arm64 2.64.6-1~ubuntu20.04.7
2025-02-24 07:43:14 status unpacked libglib2.0-bin:arm64 2.64.6-1~ubuntu20.04.8
2025-02-24 07:43:15 upgrade libglib2.0-0:arm64 2.64.6-1~ubuntu20.04.7 2.64.6-1~ubuntu20.04.8
2025-02-24 07:43:15 status half-configured libglib2.0-0:arm64 2.64.6-1~ubuntu20.04.7
2025-02-24 07:43:15 status unpacked libglib2.0-0:arm64 2.64.6-1~ubuntu20.04.7
2025-02-24 07:43:15 status half-installed libglib2.0-0:arm64 2.64.6-1~ubuntu20.04.7
2025-02-24 07:43:16 status unpacked libglib2.0-0:arm64 2.64.6-1~ubuntu20.04.8
2025-02-24 07:43:17 upgrade libxml2:arm64 2.9.10+dfsg-5ubuntu0.20.04.7 2.9.10+dfsg-5ubuntu0.20.04.8
2025-02-24 07:43:17 status half-configured libxml2:arm64 2.9.10+dfsg-5ubuntu0.20.04.7
2025-02-24 07:43:17 status unpacked libxml2:arm64 2.9.10+dfsg-5ubuntu0.20.04.7
2025-02-24 07:43:17 status half-installed libxml2:arm64 2.9.10+dfsg-5ubuntu0.20.04.7
2025-02-24 07:43:17 status unpacked libxml2:arm64 2.9.10+dfsg-5ubuntu0.20.04.8
2025-02-24 07:43:18 upgrade python3-pkg-resources:all 45.2.0-1ubuntu0.1 45.2.0-1ubuntu0.2
2025-02-24 07:43:18 status half-configured python3-pkg-resources:all 45.2.0-1ubuntu0.1
2025-02-24 07:43:19 status unpacked python3-pkg-resources:all 45.2.0-1ubuntu0.1
2025-02-24 07:43:19 status half-installed python3-pkg-resources:all 45.2.0-1ubuntu0.1
2025-02-24 07:43:20 status unpacked python3-pkg-resources:all 45.2.0-1ubuntu0.2
2025-02-24 07:43:20 upgrade tzdata:all 2024a-0ubuntu0.20.04.1 2024b-0ubuntu0.20.04.1
2025-02-24 07:43:20 status half-configured tzdata:all 2024a-0ubuntu0.20.04.1
2025-02-24 07:43:21 status unpacked tzdata:all 2024a-0ubuntu0.20.04.1
2025-02-24 07:43:21 status half-installed tzdata:all 2024a-0ubuntu0.20.04.1
2025-02-24 07:43:22 status unpacked tzdata:all 2024b-0ubuntu0.20.04.1
2025-02-24 07:43:22 upgrade ubuntu-pro-client:arm64 33.2~20.04 34~20.04
2025-02-24 07:43:22 status half-configured ubuntu-pro-client:arm64 33.2~20.04
2025-02-24 07:43:23 status unpacked ubuntu-pro-client:arm64 33.2~20.04
2025-02-24 07:43:23 status half-installed ubuntu-pro-client:arm64 33.2~20.04
2025-02-24 07:43:24 status unpacked ubuntu-pro-client:arm64 34~20.04
2025-02-24 07:43:25 upgrade ubuntu-advantage-tools:all 33.2~20.04 34~20.04
2025-02-24 07:43:25 status half-configured ubuntu-advantage-tools:all 33.2~20.04
2025-02-24 07:43:26 status unpacked ubuntu-advantage-tools:all 33.2~20.04
2025-02-24 07:43:26 status half-installed ubuntu-advantage-tools:all 33.2~20.04
2025-02-24 07:43:29 status unpacked ubuntu-advantage-tools:all 34~20.04
2025-02-24 07:43:30 upgrade xxd:arm64 2:8.1.2269-1ubuntu5.24 2:8.1.2269-1ubuntu5.31
2025-02-24 07:43:30 status half-configured xxd:arm64 2:8.1.2269-1ubuntu5.24
2025-02-24 07:43:30 status unpacked xxd:arm64 2:8.1.2269-1ubuntu5.24
2025-02-24 07:43:30 status half-installed xxd:arm64 2:8.1.2269-1ubuntu5.24
2025-02-24 07:43:30 status unpacked xxd:arm64 2:8.1.2269-1ubuntu5.31
2025-02-24 07:43:31 upgrade vim:arm64 2:8.1.2269-1ubuntu5.24 2:8.1.2269-1ubuntu5.31
2025-02-24 07:43:31 status half-configured vim:arm64 2:8.1.2269-1ubuntu5.24
2025-02-24 07:43:31 status unpacked vim:arm64 2:8.1.2269-1ubuntu5.24
2025-02-24 07:43:31 status half-installed vim:arm64 2:8.1.2269-1ubuntu5.24
2025-02-24 07:43:32 status unpacked vim:arm64 2:8.1.2269-1ubuntu5.31
2025-02-24 07:43:33 upgrade vim-tiny:arm64 2:8.1.2269-1ubuntu5.24 2:8.1.2269-1ubuntu5.31
2025-02-24 07:43:33 status half-configured vim-tiny:arm64 2:8.1.2269-1ubuntu5.24
2025-02-24 07:43:33 status unpacked vim-tiny:arm64 2:8.1.2269-1ubuntu5.24
2025-02-24 07:43:33 status half-installed vim-tiny:arm64 2:8.1.2269-1ubuntu5.24
2025-02-24 07:43:34 status unpacked vim-tiny:arm64 2:8.1.2269-1ubuntu5.31
2025-02-24 07:43:35 upgrade vim-runtime:all 2:8.1.2269-1ubuntu5.24 2:8.1.2269-1ubuntu5.31
2025-02-24 07:43:35 status half-configured vim-runtime:all 2:8.1.2269-1ubuntu5.24
2025-02-24 07:43:35 status unpacked vim-runtime:all 2:8.1.2269-1ubuntu5.24
2025-02-24 07:43:35 status half-installed vim-runtime:all 2:8.1.2269-1ubuntu5.24
2025-02-24 07:43:37 status unpacked vim-runtime:all 2:8.1.2269-1ubuntu5.31
2025-02-24 07:43:38 upgrade vim-common:all 2:8.1.2269-1ubuntu5.24 2:8.1.2269-1ubuntu5.31
2025-02-24 07:43:38 status half-configured vim-common:all 2:8.1.2269-1ubuntu5.24
2025-02-24 07:43:38 status unpacked vim-common:all 2:8.1.2269-1ubuntu5.24
2025-02-24 07:43:38 status half-installed vim-common:all 2:8.1.2269-1ubuntu5.24
2025-02-24 07:43:38 status triggers-pending mime-support:all 3.64ubuntu1
2025-02-24 07:43:39 status triggers-pending hicolor-icon-theme:all 0.17-2
2025-02-24 07:43:39 status unpacked vim-common:all 2:8.1.2269-1ubuntu5.31
2025-02-24 07:43:40 upgrade libpcap0.8:arm64 1.9.1-3 1.9.1-3ubuntu1.20.04.1
2025-02-24 07:43:40 status half-configured libpcap0.8:arm64 1.9.1-3
2025-02-24 07:43:40 status unpacked libpcap0.8:arm64 1.9.1-3
2025-02-24 07:43:40 status half-installed libpcap0.8:arm64 1.9.1-3
2025-02-24 07:43:41 status unpacked libpcap0.8:arm64 1.9.1-3ubuntu1.20.04.1
